"visitor_id","visit_date","utm_source","utm_medium","utm_campaign","lead_id","created_at","amount","closing_reason","status_id"
"35060e525ca62de0a0aa93992c7e07799d855f79",2023-06-01 10:40:28.000,yandex,cpc,prof-frontend,"26066151",2023-06-15 12:52:40.000,237990,Успешная продажа,142
d183fbda6f03b965a1cd1cee0a3f7b81a44b78ec,2023-06-01 14:39:00.000,yandex,cpc,base-frontend,"74450379",2023-06-30 14:36:31.000,201150,Успешная продажа,142
d31c95902f2d3183e7052c235ad72d82838e98c2,2023-06-01 10:44:00.000,yandex,cpc,freemium,"21579820",2023-06-19 15:28:22.000,188991,Успешная продажа,142
fd1438246c3b520c8dfa1aed4c73133c8ca10ab4,2023-06-01 14:57:00.000,yandex,cpc,prof-frontend,"23169912",2023-06-14 06:13:44.000,180306,Успешная продажа,142
b6ddcd9f994bad353f37b0c5f7115b66d07b10c2,2023-06-01 03:36:00.000,vk,cpc,prof-python,"50769366",2023-06-15 11:43:46.000,178800,Успешная продажа,142
b6ddcd9f994bad353f37b0c5f7115b66d07b10c2,2023-06-01 03:41:00.000,vk,cpc,prof-java,"50769366",2023-06-15 11:43:46.000,178800,Успешная продажа,142
f1dc9c36bd7269ed93e736b29de33e0e7a02e1a3,2023-06-01 02:41:00.000,vk,cpc,prof-java,"20614407",2023-06-26 17:47:47.000,151192,Успешная продажа,142
f1dc9c36bd7269ed93e736b29de33e0e7a02e1a3,2023-06-01 08:39:00.000,yandex,cpc,prof-python,"20614407",2023-06-26 17:47:47.000,151192,Успешная продажа,142
f1dc9c36bd7269ed93e736b29de33e0e7a02e1a3,2023-06-06 14:18:14.517,telegram,cpp,base-java,"20614407",2023-06-26 17:47:47.000,151192,Успешная продажа,142
f1dc9c36bd7269ed93e736b29de33e0e7a02e1a3,2023-06-07 16:18:04.418,telegram,cpp,base-java,"20614407",2023-06-26 17:47:47.000,151192,Успешная продажа,142
